idkuiz,topik,jumsoalan,idguru,idsoalan,idkuiz,nosoalan,soalan,pilihan1,pilihan2,pilihan3,pilihan4,jawapan
1303045,SET 1 (BIODIVERSITI),15,2,,1303045,1,Apakah maksud biodiversiti?,A. Iklim dan keadaan fizikal muka bumi.,B. Kepelbagaian habitat dan cuaca.,C. Kepelbagaian spesis tumbuhan.,D. Berasal dari perkataan bio yang bermaksud benda hidup dan diversiti yang bermaksud pelbagai.,D
,,,,,1303045,2,Apakah proses yang dijalankan oleh tumbuhan yang melibatkan tenaga matahari?,A. Perkumuhan,B. Respirasi,C. Pereputan,D. Fotosintesis,D
,,,,,1303045,3,Bagaimanakah unta hidup di gurun?,A. Mempunyai bonggol untuk menyimpan makanan dan air di belakangnya.,B. Tulang rangka besar dan kuat untuk menyokong berat badan.,C. Mempunyai rangka kecil.,D. Lapisan lemak dan bulu yang tebal untuk mengelakkan kehilangan haba dari badan.,A
,,,,,1303045,4,Nyatakan adaptasi yang sesuai bagi tumbuhan tersebut.,A. Kaktus di gurun mempunyai daun yang bercerai-cerai.,B. Pokok timun yang berbatang lembut mempunyai sulur paut bagi melilit batang pokok untuk memperoleh cahaya.,C. Pokok bakau tumbuh di habitat yang panas dan berlumpur mempunyai akar jangkang untuk sokongon kuat.,D. Pokok kelapa hidup di kawasan pantai dan mempunyai daun seperti duri bagi mengelakkan terkoyak ditiup angin yang kuat.,B
,,,,,1303045,5,Berikan maksud spesis endermik yang tepat.,A. Adaptasi spesis terhadap iklim dan keadaan fizikal muka bumi.,B. Spesis yang hampir pupus di muka bumi.,C. Spesis asli yang hanya dijumpai di sesuatu kawasan atau tempat.,D. Spesis tumbuhan yang meluas dan invasif.,C
,,,,,1303045,6,Berikut merupakan kepentingan biodiversiti KECUALI,A. Manusia hanya mendapat sumber makanan daripada haiwan.,B. Kawasan yang kaya dengan biodiversiti menjadi tumpuan lalu menjana ekonomi negara.,C. Hasil tumbuhan digunakan oleh industri untuk membuat produk harian.,D. Tumbuhan menyerap karbon dioksida dan membebaskan oksigen semasa berfotosintesis.,A
,,,,,1303045,7,"Antara aktiviti manusia tersebut, manakah yang TIDAK memusnahkan biodiversiti?",A. Pembalakan,B. Pemburuan haram,C. Penyahhutanan,D. Penternakan,D
,,,,,1303045,8,Apakah haiwan invertebrata yang mempunyai banyak spesis berbeza dan mudah didapati?,A. Ikan,B. Serangga,C. Amfibia,D. Burung,B
,,,,,1303045,9,"Antara haiwan tersebut, manakah yang memiliki badan tidak bersegmen?",A. Cacing pita,B. Cacing gelang,C. Lintah,D. Buran,D
,,,,,1303045,10,Apakah ciri sepunya ikan yang benar?,A. Homoioterma,B. Kulit lembap dan licin,C. Persenyawaan dalam,D. Poikiloterma,D
,,,,,1303045,11,Nyatakan pengelasan yang TIDAK BETUL.,A. Salamander merupakan amfibia.,B. Ikan lumba-lumba merupakan ikan.,C. Mamalia mempunyai organ pernafasan peparu.,"D. Kebanyakan reptilia hidup di darat, dan sebilangan hidup di air.",B
,,,,,1303045,12,"Antara yang berikut, yang manakah menyusukan anaknya?",A. Ayam,B. Ular,C. Kambing,D. Buaya,C
,,,,,1303045,13,"Berikut merupakan tumbuhan tidak berbunga, kecuali",A. Pokok padi,B. Lumut,C. Paku-pakis,D. Konifer,A
,,,,,1303045,14,Tumbuhan manakah yang BUKAN dikotiledon?,A. Pokok rambutan,B. Pokok bunga matahari,C. Pokok pisang,D. Pokok bunga keembung,C
,,,,,1303045,15,Nyatakan maksud kekunci dikotomi yang tepat.,A. Pemecahan kepada tiga kategori untuk suatu pengelasan.,B. Mencari organisma yang mempunyai ciri-ciri yang sepunya dengan organisma lain.,C. Cara mengenal pasti dan mengelaskan organisma berdasarkan ciri-ciri sepunya secara sistematik.,D. Mengenal pasti ciri-ciri tertentu sesuatu organisma.,C
